,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
26221,2161384,148386,148386 (Mono (5-carboxy-2-ethylpentyl) phthalate),291.1226,[M+H-H2O]+,11.16,,,0,1,0,LC_MSMS_POS,234.0,0,308.125988,C16H20O6,125.0961,97.1011,143.1066,83.0855,55.0545,149.0233,107.0852,81.0699,69.0335,69.07,79.0539,67.0544,55.0181,218.3803,84.9587,217.0762
26292,2161455,60208234,60208234 (Mono-7-carboxyheptyl Phthalate),291.1222,[M+H-H2O]+,11.3,,,0,1,0,LC_MSMS_POS,234.0,0,308.125988,C16H20O6,125.0961,97.1012,149.0233,55.0545,83.0855,143.1069,107.0855,81.0698,79.0541,69.0333,67.0542,69.0698,55.018,83.0491,218.8687,57.0333
26525,2161688,560193,560193 (Vamidothion),310.0304,[M+Na]+,7.46,,,0,1,0,LC_MSMS_POS,234.0,0,287.041487,C8H18NO4PS2,310.0304,146.0635,118.0321,86.06,58.0654,58.029,281.9999,164.9751,66.4239,100.4474,161.6292,68.5167,228.3027,200.9837,182.9728,90.0372
26572,2161735,9571009,9571009 (Butoxycarboxim),223.0744,[M+H]+,4.95,,,0,1,0,LC_MSMS_POS,234.0,0,222.067428,C7H14N2O4S,86.06,81.0005,76.0393,148.0428,223.0636,59.0493,207.0325,62.99,209.0105,166.0534,69.0574,58.0653,68.0497,58.029,191.0031,216.2544
26582,2161745,5353758,5353758 (Methomyl),347.0814,[2M+Na]+,5.53,,,0,1,0,LC_MSMS_POS,234.0,0,162.046299,C5H10N2O2S,128.0141,185.0355,64.016,51.3394,98.6451,288.6859,299.1291,219.9102,199.9332,67.9176,51.2808,78.7611,,,,
26639,2161802,16116,16116 (Siduron),487.3039,[2M+Na]+,11.98,,,0,1,0,LC_MSMS_POS,234.0,0,232.157563,C14H20N2O,255.1462,218.3444,152.959,152.9295,152.9372,,,,,,,,,,,
26677,2161840,34192,34192 (Thiobencarb),537.1172,[2M+Na]+,13.9,,,0,1,0,LC_MSMS_POS,234.0,0,257.064113,C12H16ClNOS,280.0532,125.015,127.0127,261.4738,80.0989,74.2454,512.6851,74.2868,79.0624,,,,,,,
26759,2161922,41632,41632 (Mepronil),561.2722,[2M+Na]+,12.42,,,0,1,0,LC_MSMS_POS,234.0,0,269.141579,C17H19NO2,158.9649,467.13,146.7708,292.1288,279.775,146.9116,52.7409,67.2143,52.8283,,,,,,,
26790,2161953,91773,91773 (Tebufenozide),375.2039,[M+Na]+,13.29,,,0,1,0,LC_MSMS_POS,234.0,0,352.215078,C22H28N2O2,225.1361,308.0003,375.2051,72.0808,203.1544,319.1417,70.0288,70.0652,265.9534,173.0574,154.0628,85.0885,280.0054,222.9478,201.9818,244.0292
26801,2161964,6112114,6112114 (Kresoxim methyl),314.1382,[M+H]+,13.4,,,0,1,0,LC_MSMS_POS,234.0,0,313.131408,C18H19NO4,222.0912,223.0991,235.075,116.0494,70.0652,313.9921,131.073,70.0288,238.1226,146.06,208.0876,194.0988,296.2927,132.0808,267.1007,282.1122
