NIH_Lip_Std_CSH_POS_Brain_01,NIH_Lip_Std_CSH_POS_Brain_02,NIH_Lip_Std_CSH_POS_Brain_03,NIH_Lip_Std_CSH_POS_Heart_01,NIH_Lip_Std_CSH_POS_Heart_02,NIH_Lip_Std_CSH_POS_Heart_03,NIH_Lip_Std_CSH_POS_Liver_01,NIH_Lip_Std_CSH_POS_Liver_02,NIH_Lip_Std_CSH_POS_Liver_03,NIH_Lip_Std_CSH_POS_Muscle_01,NIH_Lip_Std_CSH_POS_Muscle_02,NIH_Lip_Std_CSH_POS_Muscle_03,NIH_Lip_Std_CSH_POS_Plasma1_01,NIH_Lip_Std_CSH_POS_Plasma1_02,NIH_Lip_Std_CSH_POS_Plasma1_03
6342004,7677942,11763816,460512,533507,457634,6974413,8221799,7783958,929450,973218,1023243,718724,190512,781852
0,0,0,0,63880,91629,1056434,1093330,0,75195,100192,256248,0,0,91709
229954,1208451,597237,90511,89125,94458,890516,841955,445738,438031,0,0,152277,69739,220641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074323,1420862,2059271,0,0,0,0,0,0,0,0,0,0,0,0
1271278,1745112,2629828,0,187173,0,2657944,3421415,3124805,0,465140,459685,0,0,0
501884,648867,923745,687299,733142,736142,9303640,8270530,9909503,455631,431133,493716,852209,263166,872464
0,0,0,0,0,0,205540,196595,179402,0,0,0,0,0,0
80935,104906,0,0,0,0,786236,774792,1588636,0,0,0,0,0,0
0,0,0,95570,90240,101573,5250754,2899236,6145780,0,0,0,0,0,132268
0,0,0,0,0,0,0,5655764,3246292,767162,793858,0,0,0,95799
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31781,0,1074128,344266,1107565,0,0,0,0,0,0
0,23715,0,0,0,0,0,278050,0,0,0,0,0,0,0
0,0,0,0,0,0,0,123304,0,0,0,0,0,0,0
200257,232509,333747,0,0,0,937632,1107227,1213469,0,0,0,0,0,0
81068,65338,150873,0,0,0,0,80503,0,0,0,0,0,0,0
0,0,112574,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259788,286370,487354,1457683,1378953,1247664,20560508,17699074,9086042,154393,182115,196730,804356,234434,889191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17060820,18478236,17618138,17420790,18107086,20437190,14536863,15197434,15746060,17774650,18160428,19846584,20077828,8296808,20685238
0,0,0,0,0,0,150227,90678,131388,0,0,0,50053,0,0
259334,304787,321519,0,0,0,596528,119301,111545,0,0,0,0,0,0
0,0,35259,0,0,0,2311515,1646678,448656,0,0,0,80127,0,56483
0,0,0,0,0,0,0,0,2263986,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012765,1079894,1063446,1976504,1989553,2048566,1482607,1594005,1569752,1906945,1829208,1921666,1924439,880381,1966423
125211,111983,0,0,0,0,768401,790099,850426,0,0,0,0,0,0
0,0,0,59523,64896,0,441253,488826,575576,0,0,0,70916,0,104393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,436748,0,0,0,0,246639,0,0,0,0,0,0,0
0,0,343400,0,0,0,0,0,0,0,0,0,0,0,0
414587,496225,835197,0,0,0,354119,475636,424043,0,0,0,0,0,0
0,0,0,0,0,0,234518,0,251074,0,0,0,0,0,0
5041791,5302110,5833312,433791,509208,463670,4958083,5472560,5401608,479186,880952,561454,615708,250678,643389
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,165128,134226,159110,0,0,0,0,0,0
0,0,0,0,0,0,164324,134280,155258,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2685131,3209330,3401672,0,0,0
0,0,0,0,0,0,115399,58193,104692,0,0,0,0,0,0
0,0,0,0,0,0,477806,545998,526289,0,0,0,0,0,0
0,0,0,0,0,0,832166,1134186,1072410,0,0,0,0,0,0
0,0,0,0,0,0,142261,254329,172308,25030,0,0,0,0,0
0,0,0,0,0,0,143796,183952,163876,0,0,0,0,0,0
0,0,0,0,0,0,99155,181556,177429,102469,189168,186070,0,0,0
39457236,40582172,47514480,24615906,27143674,22235732,24257538,26240428,25075796,13298126,14854618,13799745,15318693,2495984,12523055
2048467,2649215,5723577,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49053,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,195691,246471,0,0,29286,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,231814,245286,257728,0,0,78186,0,113546,82289,0,0,0
0,0,0,1239464,0,0,0,316285,322166,201339,262855,245548,0,0,0
0,0,0,14698685,17361360,16124496,1433708,2283847,2052327,1164794,1363848,1694943,0,0,0
0,0,0,74624,65401,77995,0,36914,0,0,0,0,0,0,0
0,0,0,94246,142544,105688,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,138711,145793,132685,205895,344223,254981,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
