2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
0,0,0,2039,7016,84558,3270,1821,7290,84838,3078,1876,7388,82128,3452
0,0,0,3137,11847,146398,5376,3110,12266,144547,5299,3389,12637,146293,5689
0,0,0,0,7571,4587,0,0,7543,4358,0,0,7735,3953,0
0,0,0,0,3437,0,0,0,3449,0,0,0,10778,0,0
12426,11959,12456,15598,19961,0,17763,16545,19778,0,17049,15072,0,0,16989
106401,107818,104940,261000,320827,260988,177582,258051,312385,174212,176953,260348,313105,259867,261958
0,0,0,2782,9524,0,2559,2382,9646,0,2890,2645,8640,0,2439
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16269,70048,0,0,16587,73069,0,0,15419,68694,0
0,0,0,0,23253,107676,0,0,23575,107611,0,0,24275,105636,0
0,0,0,0,0,44507,0,0,0,44924,1800,0,0,41604,0
0,0,0,0,2660,9944,0,0,2574,9618,0,0,2632,9416,0
0,0,0,0,4557,7465,0,0,4455,6911,0,0,4268,6848,0
0,0,0,0,0,0,0,0,0,5947,0,0,0,6144,0
0,0,0,0,22018,18490,0,0,22754,19218,0,0,22153,18177,0
0,0,0,0,13253,2363,0,0,13192,2071,0,0,13197,2226,0
0,0,0,0,3173,2358,0,0,28875,2447,0,0,29140,2393,0
0,0,0,0,41311,3477,0,0,42369,3551,0,0,40764,3657,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,2307,2406,2696,3492,0,2883,2908,3377,0,2682,3130,0,0,2578
52051,51507,51248,83030,103096,128866,84286,81634,102656,130596,0,80750,99595,129581,83605
103980,103104,104210,129992,128504,153246,141636,127621,125319,156369,143317,126325,127270,153143,140332
0,0,2025,0,0,0,2857,0,0,0,2771,0,0,0,2753
0,0,0,0,21380,33050,0,0,20585,32429,0,0,19738,31711,0
0,0,0,0,12829,28731,0,0,7110,28439,0,0,9180,27766,0
0,0,0,0,4441,141586,0,0,4646,139834,0,0,4470,137131,0
0,0,0,0,0,6112,0,0,0,6311,0,0,0,5552,0
4868,4290,4767,3997,90138,26331,2764,3493,90887,26892,2741,3350,88855,26070,2900
0,0,0,0,0,9160,0,0,0,9650,0,0,0,8916,0
5808,6301,5404,5191,124926,40191,4278,5354,126415,39448,3812,5217,126847,40744,4067
0,0,0,0,5382,17985,0,0,5053,15545,0,0,5194,15281,0
0,0,0,0,0,70145,0,0,0,66979,0,0,0,68166,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10207,0,0,0,10183,0,0,0,9916
0,0,0,0,0,7307,0,0,0,6510,0,0,0,6525,0
0,0,0,0,16000,13288,0,1311,16533,13549,0,0,14938,12970,0
0,0,0,1891,26114,96845,1524,1859,10449,95288,1890,0,25204,22629,1628
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2609,5195,0,0,2770,5291,0,0,2557,5564,0
0,0,0,0,0,5205,0,0,0,5207,0,0,0,5253,0
2024,2527,2207,2470,37872,11557,0,2423,37142,11129,0,2420,36350,11033,1663
0,0,0,0,22284,12076,0,0,21346,11517,0,0,19671,10216,0
