index,muscle,muscle,plasma,liver,brain,heart,heart,muscle,plasma,brain,liver,plasma,liver,brain,heart
210,0,0,0,13457,41952,0,0,0,0,42941,13233,0,14204,0,0
211,0,0,0,0,5999,0,0,0,0,6464,0,0,0,6421,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,21137,0,0,0,0,0,0,20706,0,21649,0,0
215,0,0,0,0,0,2354,0,0,1253,0,0,0,0,0,1011
216,19195,18455,8904,10700,10281,15365,18191,19197,5862,18212,19065,1302,11122,0,17521
217,9531,8452,4986,9645,8693,8534,8936,8846,5020,7023,8974,4572,9594,0,8978
218,0,0,0,0,50985,0,0,0,0,57966,0,0,0,3153,0
219,0,0,0,6635,2796,0,0,0,0,3105,6321,0,7240,55938,0
220,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0
221,0,0,0,5400,126248,0,0,0,0,135385,5061,0,5475,4160,0
222,0,0,0,0,4045,0,0,0,0,4119,0,0,0,135682,0
223,2371,3266,3383,105423,3791,4389,4265,2860,3604,3900,101916,3648,107262,84416,4608
224,0,1604,0,0,22724,0,0,0,0,85777,0,0,0,3938,0
225,3049,3917,4030,121588,4212,4904,5126,3198,4331,0,119685,4341,123426,22494,5294
226,0,0,0,0,19860,0,0,0,0,21836,0,0,2923,4932,0
227,0,0,0,0,106439,0,0,0,0,111640,0,0,0,29251,0
228,0,0,0,0,49832,0,0,0,0,53643,0,0,0,18385,0
229,5739,5514,3633,6614,22599,5672,6140,5427,3733,0,6308,3740,6517,4382,6023
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,17701,0,0,0,0,18471,0,0,0,2432,0
232,0,0,0,3351,0,0,0,0,0,0,3266,0,3324,0,0
233,0,0,0,0,162732,0,0,0,0,174033,0,0,0,42831,0
234,2586,3424,0,30761,64002,0,0,2585,0,70968,28113,1197,16203,0,0
235,0,0,0,0,13528,0,0,0,0,12950,0,0,0,168486,0
236,0,0,0,0,161140,0,0,0,0,169591,0,0,0,93749,0
237,3001,4054,0,19458,80622,0,0,3023,0,90605,18966,0,19474,21255,0
238,0,0,0,16415,40978,0,0,0,0,44649,0,0,31161,0,0
239,1331,1476,0,13000,7418,0,0,1322,0,7650,12738,0,13149,2674,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,13949,0,0,0,0,14778,0,0,0,13721,0
242,0,0,0,0,127625,0,0,0,0,133528,0,0,0,7764,0
243,1478,1649,1546,44986,0,2695,2412,1444,1928,0,42620,1755,45940,0,2414
244,0,0,0,0,3529,0,0,0,0,3753,0,0,0,3417,0
245,0,0,0,25159,0,0,0,0,0,0,23933,0,26692,0,0
246,0,0,0,31366,4277,0,0,0,0,4284,30163,0,33751,4914,0
247,0,3057,0,0,0,0,0,2752,0,0,0,0,0,0,0
248,0,0,0,0,3495,0,0,0,0,3687,0,0,0,1524,0
249,1573,0,0,5732,0,1487,0,0,0,0,5159,0,5610,0,0
250,0,0,0,0,12500,0,0,0,0,13973,0,0,0,2806,0
251,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0
252,0,0,0,4639,9467,0,0,0,0,11685,4324,0,4843,11354,0
253,0,0,0,0,14819,0,0,0,0,15963,0,0,0,15360,0
254,0,0,0,0,2056,0,0,0,0,2222,0,0,0,2024,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,1923,103719,3689,5666,5364,0,1981,3997,97619,1790,102853,3692,5637
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,13604,12496,8496,13052,10893,12926,14648,13127,8143,8406,12584,8052,12605,0,14500
259,0,0,0,2748,0,0,0,0,0,0,2552,0,2726,0,0
260,0,0,0,11776,1369,0,0,0,0,1736,11200,0,11725,1632,0
261,0,0,0,15530,0,0,0,0,0,0,14540,0,16330,0,0
262,0,0,0,0,6967,0,0,0,0,8523,0,0,0,8251,0
263,0,0,0,0,17213,0,0,0,0,18407,0,0,0,18346,0
264,6548,5956,4776,6282,6230,6645,6770,6281,4815,0,6044,4689,5800,0,6353
265,0,0,0,0,4685,0,0,0,0,5147,0,0,0,5052,0
266,0,0,0,4197,0,0,0,0,0,0,3722,0,4184,0,0
267,0,0,0,4198,0,0,0,0,0,0,4041,0,4443,0,0
268,0,0,0,0,39863,0,0,0,0,42499,0,0,0,43347,0
269,0,0,0,0,4996,0,0,0,0,5521,0,0,0,5210,0
270,0,0,0,0,2929,0,0,0,0,3537,0,0,0,4217,0
271,0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0
272,2528,3175,0,18801,12110,0,0,2653,0,0,22296,0,24242,17432,0
273,0,0,0,1465,0,0,0,0,0,0,1387,0,1403,0,0
274,0,0,0,2061,0,0,0,0,0,0,2078,0,2043,0,0
275,0,0,0,3262,0,0,0,0,0,0,3060,0,3290,0,0
276,10554,14546,0,0,0,0,0,11558,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,5736,0,0,0,0,0,0,4970,0,5392,0,0
279,0,1046,0,12373,0,0,0,0,0,0,10813,0,11937,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,3022,0,0,0,0,0,0,2740,0,3108,0,0
282,1674,2218,0,1811,0,0,0,1817,0,0,0,0,1854,0,0
283,177256,177580,69631,232114,243326,234709,255032,170861,70832,211547,218450,68829,226025,0,253779
284,0,0,0,0,177668,0,0,0,0,189844,0,0,0,175493,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,1571,1717,0,0,0,0,0,0,0,1790
287,1674,2236,0,2025,0,4060,4387,1775,0,0,1897,0,2060,0,4649
