massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row240	239.0	1171.033	5.636	0.42559941439564997	0.7999490939122141
row241	240.0	680.0177	5.634	0.5660979251632469	0.5756822228780218
row242	241.0	251.0778	2.044	0.10740670159026469	-1.6242599812370484
row243	242.0	762.0206	5.635	0.5563200437081908	0.5902626511482973
row244	243.0	233.1579	3.971	0.06565648541756101	1.8607737097121715
row245	244.0	141.0547	0.538	0.28254687063304484	1.080321400913841
row246	245.0	118.0618	5.484	0.41403950315481597	0.8201562991086672
row247	246.0	530.0192	5.667	0.7043103682316152	0.38057457943813466
row248	247.0	351.1593	6.758	0.762621413739504	-0.3028493873700022
row249	248.0	217.1297	5.789	0.02447564831466478	-2.283478566142225
row250	249.0	242.1137	2.152	0.00603826820659149	2.8042973700988845
row251	250.0	354.2283	3.183	6.474621409338711e-05	4.167153208884717
row252	251.0	375.2577	3.611	0.2115277519569452	1.257268076868701
row253	252.0	332.2436	3.564	0.36913677974614667	-0.9020853628932498
row254	253.0	342.1919	3.792	0.03078620717648876	2.1902204337929674
row255	254.0	261.1814	4.201	0.0020911256408107873	3.157809557859643
row256	255.0	328.2125	3.661	0.8535510854266225	0.18505790977012188
row257	256.0	1030.9886	5.629	0.3509928788916359	-0.9369589323067326
row258	257.0	300.1813	3.782	0.6251068421340364	0.49011253139097705
row259	258.0	130.0502	3.404	0.8630417379394085	-0.17293944359275942
row260	259.0	357.0507	3.561	0.21472560785753306	1.2484464625361937
row261	260.0	330.2265	3.391	0.05232018293808505	1.963418004072998
row262	261.0	400.1431	0.657	0.7936745864289697	0.26222792529631284
row263	262.0	385.2437	0.797	0.7201031801746588	-0.35931372825003655
row264	263.0	167.0928	2.036	0.18762788993096857	1.3265260546073008
row265	264.0	142.0865	2.801	0.7366827960930619	-0.33716836081975377
row266	265.0	151.1445	5.134	0.11258563702980326	-1.6004771083573692
row267	266.0	256.1183	3.932	0.006576237484235558	2.77451346843715
row268	267.0	203.1506	8.448	0.9822370149031258	0.0223191026252868
row269	268.0	287.1639	2.341	0.1939908732423573	1.3074751727888636
row270	269.0	137.0713	4.7	0.05022269476394024	1.981534250319048
row271	270.0	145.1053	4.186	1.9295381482020218e-07	5.5869804726769665
row272	271.0	359.2629	3.312	0.003224594180851467	3.016881325714009
row273	272.0	131.0269	0.782	0.38508279832815084	0.8723196917199187
row274	273.0	245.0773	3.777	0.22035214064148917	-1.23315549074953
row275	274.0	292.1582	3.546	0.002038535850509199	3.165963011081731
row276	275.0	288.1041	3.403	0.9394230267488614	0.07618263269348133
row277	276.0	104.1079	4.04	0.01289601473925033	2.5311471803330923
row278	277.0	579.3785	1.268	0.43577891797491586	0.7824226062381368
row279	278.0	313.1339	2.947	0.0721371131175198	-1.8171059952217643
row280	279.0	528.8484	5.06	0.003118704554937397	3.0279054613798557
row281	280.0	284.0099	5.675	0.14924319451155008	-1.4531810503065057
row282	281.0	480.288	5.757	0.3726568245031261	0.8954463746364834
row283	282.0	623.405	1.157	0.4568371434600351	0.7469083341657055
row284	283.0	288.2175	3.067	0.06303330870530453	1.8794793475101854
row285	284.0	281.1136	3.078	0.05417072499597409	1.9479394222494777
