,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
1468,24802,5.697,1194.82336,RIKEN P-VS1 ID-18829 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,True,9.26,1194.81982,430,True,True,True,89.9,99.9,75.8,91.0,100.0,0,137174,135124,133597,185909,0,127379,177216,95801,170818,146812,117869,151921,106282,192759,2.901675477339087
6120,3955,1.411,282.28024,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,322710,98726,289382,119423,41545,334990,97673,321396,65441,0,330524,95857,313932,61562,44891,2.901900750619907
23151,18057,6.771,803.58118,w/o MS2:RIKEN P-VS1 ID-11410 from Mouse_Kidney_WT_N_F1DHA,[M+H]+,False,9.63,803.57288,530,True,True,False,70.9,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9019420640015623
22698,21374,4.547,903.49994,w/o MS2:PI 38:7,[M+H]+,False,7.93,903.49939,530,True,True,False,99.8,99.9,,,,325812,44837,108429,19259,48592,325951,39053,129922,16441,51814,310731,41974,129133,23724,55168,2.905261425410849
1380,18697,5.168,820.52441,RIKEN P-VS1 ID-12188 from Mouse_Kidney_WT_N_F1EPA,[M+H]+,True,9.31,820.51923,430,True,True,True,93.8,99.9,90.0,94.5,100.0,258989,6037,215170,377816,905083,258051,0,272678,402036,912308,281758,0,284711,405738,850505,2.9053601650848266
24258,27364,5.063,1672.08411,w/o MS2:RIKEN P-VS1 ID-21360 from Mouse_Brain_fads2KO_N_Ctr,[M+H]+,False,8.48,1672.08484,530,True,True,False,99.7,99.9,,,,1064302,0,0,0,0,1086353,0,0,0,0,960612,0,0,0,0,2.905551344482319
1611,14433,6.192,680.48285,RIKEN P-VS1 ID-7491 from Mouse_Macrophage_WT_N_F1AA,[M+H]+,True,9.91,680.48163,430,True,True,True,98.1,99.9,99.4,98.7,87.5,3855632,2301558,5075312,9134953,5003796,3656934,2342598,5592266,8773288,5056580,3757339,2298454,5069440,9181808,4912386,2.906675035092117
694,9443,11.676,480.31097,LPE 18:1,[M+H]+,True,6.41,480.3085,410,True,True,True,100.0,99.8,47.8,74.0,100.0,66363,0,0,0,0,63378,0,0,0,0,65806,0,0,0,0,2.907539984173164
26077,21320,7.218,901.77954,w/o MS2:SM 47:1;3O,[M+H]+,False,13.4,901.77319,530,True,True,False,81.8,99.8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.907742613792746
1785,19278,7.594,837.68549,SM 44:4;2O|SM 18:1;2O/26:3,[M+H]+,True,11.92,837.68439,410,True,True,True,100.0,99.9,38.8,68.9,100.0,2188374,1391261,6258139,516624,74274,2131688,1461392,6507749,476705,71359,2162800,1525231,6390990,463062,76804,2.908361958571795
168,12317,6.764,592.56873,Cer 38:2;2O|Cer 18:2;2O/20:0,[M+H]+,True,10.91,592.56628,410,True,True,True,100.0,99.9,72.9,96.1,100.0,379626,14730,148738,0,0,339887,0,146180,0,0,416005,0,135106,0,0,2.9083953903089665
1399,19229,4.849,836.52588,RIKEN P-VS1 ID-12851 from Mouse_Brain_WT_N_F1DHA,[M+H]+,True,10.17,836.52191,430,True,True,True,72.1,99.8,88.5,15.1,53.3,114372,6489,0,0,0,114020,0,16888,0,0,107804,0,0,0,0,2.909288942564243
711,9011,2.002,464.31543,LPE O-18:2,[M+H]+,True,6.6,464.3136,410,True,True,True,100.0,99.9,69.2,91.9,100.0,899817,207087,20208,0,25190,892228,207787,0,0,23575,804968,204680,16988,0,25071,2.9093959608690687
3643,1365,11.167,186.05804,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,7358829,7070296,6648186,7297532,6592577,6850388,6607317,6365490,7882016,6607748,0,6769570,6640374,7759794,6796634,2.911364870923549
23060,17199,5.776,777.56445,w/o MS2:RIKEN P-VS1 ID-10338 from Mouse_Plasma_ApoEKO_N_F1DHA,[M+Na]+,False,14.38,777.57208,530,True,True,False,74.7,99.6,,,,384547,0,0,0,0,153462,135694,1266047,0,0,0,121053,0,54917,0,2.9115544568447
