,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
21701,14711,6.781,689.58209,w/o MS2:NAGly 12:0;O(FA 28:4),[M+H]+,True,11.31,689.5827,530,True,True,False,99.9,99.9,,,,205641,0,0,69311,0,218405,58325,0,66375,0,188183,48365,0,92170,0,2.4097763809289914
16038,22683,4.97,955.48993,Unknown,[M+2H]2+,True,,,999,False,False,False,,,,,,466277,0,0,0,0,451675,0,0,0,0,372277,0,0,0,0,2.409793968797898
14049,16344,9.18,749.79327,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,15476,0,0,0,0,14792,0,0,0,0,11219,0,0,0,0,2.4098257607104405
22858,20749,4.926,882.52997,w/o MS2:PS 16:4_28:7,[M+H]+,False,8.05,882.52802,530,True,True,False,98.1,99.9,,,,39832,0,52424,0,0,31837,0,46182,0,0,33214,0,0,0,0,2.4098341350902808
21537,8956,6.346,462.29761,w/o MS2:LPC O-15:3,[M+H]+,False,5.34,462.29791,530,True,True,False,100.0,100.0,,,,849526,9436,0,0,0,973607,8849,0,0,0,915843,5940,41890,0,0,2.4098829500491594
22371,18503,8.828,814.66833,w/o MS2:PC O-39:2,[M+H]+,False,13.01,814.6684,530,True,True,False,100.0,99.9,,,,0,0,0,0,0,92026,0,0,0,0,89139,0,0,0,0,2.4099382347262135
22180,18636,4.885,818.56647,w/o MS2:PC 37:4,[M+H]+,False,9.39,818.56702,530,True,True,False,99.8,100.0,,,,0,0,0,0,0,22363,0,0,0,0,25213,0,2159961,0,0,2.409942705483912
6704,4611,0.42,307.04495,Unknown,[M+NH4]+,True,,,999,False,False,False,,,,,,216780,39476,0,0,0,232290,45232,0,0,0,215879,41577,0,0,0,2.409973549931529
9705,8376,1.732,438.44171,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,38302,0,0,0,0,33891,0,0,0,0,38984,0,9429,0,0,2.410060182486547
24535,12789,8.084,611.5965,w/o MS2:RIKEN P-VS1 ID-6011 from Mouse_AdrenalGlands_fads2KO_N_Ctr,[M+H]+,False,10.75,611.59802,530,True,True,False,98.8,100.0,,,,7344,0,0,0,0,8237,0,0,0,0,0,0,0,0,0,2.410089168581644
17632,25693,6.305,1439.12659,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,163284,0,0,0,0,196968,0,0,0,0,175081,0,0,0,0,2.410190564403957
1319,19977,5.092,858.52826,PS 40:6,[M+Na]+,True,8.22,858.52557,420,True,True,True,100.0,99.9,83.8,93.6,100.0,5910004,0,139858,196998,11835,6311251,0,172589,191077,0,5877124,13325,256120,190174,9387,2.4102177777284464
21467,10774,11.855,530.32452,w/o MS2:LPC 19:4,[M+H]+,False,5.63,530.3241,530,True,True,False,99.9,99.8,,,,11906,0,0,0,0,10832,0,0,0,0,12529,0,0,0,0,2.4102316532947548
9045,7478,1.146,410.41025,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,412401,0,94709,0,0,388827,0,88093,0,0,381396,0,94640,0,0,2.410232026891991
2360,42,5.667,121.76466,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,6558,0,0,0,0,0,0,0,0,8290,0,0,0,0,2.410241399769529
21375,23824,10.674,1050.92529,w/o MS2:HexCer 20:1;3O/38:0;(2OH),[M+H]+,False,14.16,1050.92712,530,True,True,False,98.3,99.9,,,,21331,0,0,0,0,0,0,0,0,0,23155,0,0,0,0,2.4102796620727127
1631,16430,7.005,752.55896,RIKEN P-VS1 ID-9414 from Cell_HeLa_WT_N_Ctr,[M+H]+,True,11.84,752.56042,430,True,True,True,93.9,99.9,83.4,98.3,100.0,3014700,329071,0,88338,0,3075735,341520,188235,86325,0,3147020,327204,156551,89643,15815,2.4102956490874066
226,13694,8.237,650.64746,Cer 42:1;2O|Cer 18:1;2O/24:0,[M+H]+,True,13.26,650.64459,410,True,True,True,100.0,99.9,89.7,89.4,100.0,1769110,19910,269025,0,79707,1814986,23432,305697,0,85028,1702669,0,287667,0,77374,2.4103384396785352
999,15452,5.578,718.57745,PC O-32:1,[M+H]+,True,9.71,718.57452,420,True,True,True,100.0,99.9,85.8,85.7,100.0,9672108,859909,468294,145089,137035,9595981,940549,14470,142966,116516,9674700,879736,0,0,126095,2.410371219680479
22428,21534,6.772,908.65277,w/o MS2:PC O-47:11,[M+H]+,False,11.06,908.65277,530,True,True,False,100.0,99.9,,,,359380,0,0,0,0,375054,0,0,0,0,389378,0,0,0,0,2.4105192234636603
20056,18715,8.641,820.72455,w/o MS2:Cer 16:1;3O/38:6;(2OH),[M+H]+,False,13.13,820.71771,530,True,True,False,79.2,99.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4105412897690828
22334,15715,11.355,728.56158,w/o MS2:PC O-33:3,[M+H]+,False,9.62,728.5589,530,True,True,False,96.5,100.0,,,,31388,0,0,0,0,34076,0,0,0,0,0,0,0,0,0,2.4106708653479276
15834,21949,4.89,923.50134,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,18794,0,6810,0,0,26784,0,0,0,0,22228,2.410765950129391
26795,22129,7.457,930.66718,w/o MS2:TG 8:0_21:3_22:5;4O,[M+H]+,False,10.19,930.6665,530,True,True,False,99.8,100.0,,,,151660,0,0,0,0,144702,0,3541,0,0,152247,5031,0,0,0,2.410826050719893
24484,11628,7.984,563.53961,w/o MS2:RIKEN P-VS1 ID-5214 from Cell_C2C12_WT_N_0hCtr,[M+Na]+,False,6.78,563.54132,530,True,True,False,98.6,100.0,,,,0,0,16886,0,0,14749,0,13382,0,0,0,0,12993,0,0,2.4108387909502134
5304,3068,0.48,242.92607,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,172770,162183,156597,110086,68746,170299,181026,153762,136384,69896,183729,191319,162655,108489,65247,2.410845051960979
11226,10615,6.142,523.47223,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,54631,0,78248,0,0,58279,0,132512,0,11030,47863,0,128884,0,7782,2.4108515894831286
23266,19041,8.521,830.65491,w/o MS2:RIKEN P-VS1 ID-12616 from Mouse_Heart_WT_N_F1,[M+H]+,False,8.82,830.65558,530,True,True,False,99.8,100.0,,,,43891,0,19516,0,0,47050,0,0,0,0,49872,0,24784,0,0,2.4108692476185065
18712,27238,5.361,1644.1106,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,232241,0,0,0,0,0,0,0,0,0,0,0,0,2.410869929143732
20988,19517,8.774,844.72632,w/o MS2:HexCer 16:0;2O/27:0;O,[M+H]+,False,13.12,844.72357,530,True,True,False,96.3,99.9,,,,20134,0,0,0,0,23230,0,0,0,0,0,0,0,0,0,2.4109198424996694
22496,10942,7.635,536.37067,w/o MS2:PE O-8:0_14:1,[M+H]+,False,7.43,536.37109,530,True,True,False,99.9,100.0,,,,16010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4109253244293054
20543,20645,5.292,879.68317,w/o MS2:DG 54:10,[M+H]+,False,13.57,879.68372,530,True,True,False,99.8,99.7,,,,17787,0,0,0,0,0,0,0,0,0,30509,0,0,0,0,2.410962456280783
11808,11626,5.232,563.51825,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,19159,0,0,14211,0,0,0,0,12928,0,2.410986301559926
17855,26011,5.689,1493.18286,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411039302235696
26388,22211,6.224,934.60181,w/o MS2:TG 15:4_15:4_22:5;4O,[M+Na]+,False,9.16,934.60388,530,True,True,False,97.9,100.0,,,,454569,0,0,0,0,489765,0,0,0,0,472547,0,0,0,0,2.411072760838406
1295,21269,4.405,900.5528,PI 38:6,[M+NH4]+,True,8.06,900.55969,410,True,True,True,100.0,99.9,19.3,42.5,100.0,29372,0,0,0,0,27531,0,0,0,0,28142,0,0,0,0,2.4110974149317106
526,20987,5.681,890.65515,Hex2Cer 36:1;2O|Hex2Cer 18:1;2O/18:0,[M+H]+,True,9.86,890.65631,410,True,True,True,100.0,99.9,48.0,73.0,100.0,277881,0,0,0,0,317637,0,0,0,0,352372,0,0,0,0,2.4111257415759653
12063,12058,7.611,580.60785,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,40344,0,0,0,0,52824,0,0,0,0,39677,0,0,0,13559,2.4112485959714087
1486,25758,6.313,1454.1001,RIKEN P-VS1 ID-19944 from Mouse_Brain_fat1TG_N_w6rich,[M+H]+,True,10.32,1454.10352,430,True,True,True,71.0,99.9,56.4,59.8,52.4,995297,27437,0,12319,0,1045753,28693,0,0,0,1045360,25335,0,0,0,2.4113124540872635
5935,3747,4.41,274.09229,Unknown,[M+H]+,False,,,999,False,False,False,,,,,,100506,0,0,0,0,109553,0,0,0,0,105758,0,0,0,0,2.411325902128682
240,13586,10.147,646.6131,Cer 42:2;3O|Cer 18:1;2O/24:1;O,[M+H-H2O]+,True,12.73,646.61328,410,True,True,True,100.0,100.0,34.0,74.8,100.0,9017,0,0,0,0,11758,0,0,0,0,11466,0,0,0,0,2.4114531535873027
12564,12890,6.993,615.57031,Unknown,[M+H]+,True,,,999,False,False,False,,,,,,226725,0,50009,0,0,243501,0,0,0,0,233636,0,0,0,0,2.411577375324544
