index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
2206,23261,11.952,990.94226,TG 60:1|TG 18:0_24:0_18:1,[M+NH4]+,TRUE,17.02,990.94232,410,TRUE,TRUE,TRUE,100.0,99.9,54.4,90.1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.168522850205810
965,20165,6.382,864.65198,PC 42:5,[M+H]+,TRUE,10.97,864.64771,420,TRUE,TRUE,TRUE,90.0,99.9,55.0,73.6,100.0,392748,0,514234,0,47380,398001,0,0,0,0,391478,0,0,0,15175,2.1686091911133600
17457,25442,7.975,1325.28076,Unknown,[M+Na]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1687277647329300
14949,18952,9.532,827.78992,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,1097951,1367095,1209962,1258450,1240167,1201951,1418258,1234848,1345316,1236355,1149038,1464760,1270075,1294001,1183038,2.168874195654630
1337,17173,5.205,776.59106,RIKEN P-VS1 ID-10310 from Cell_HEK293_WT_N_Ctr,[M+H]+,TRUE,7.96,776.57867,430,TRUE,TRUE,TRUE,77.7,100.0,66.2,79.9,100.0,0,0,0,0,0,133530,0,0,0,0,126124,0,0,0,0,2.1696100603247300
223,13275,8.641,632.63385,Cer 42:1;2O|Cer 18:1;2O/24:0,[M+H-H2O]+,TRUE,13.26,632.63397,410,TRUE,TRUE,TRUE,100.0,99.9,94.1,94.9,100.0,276829,332247,7805408,232556,579786,318897,350515,8140168,220879,599721,287732,352402,8208736,229111,551232,2.1709210240346700
162,12417,6.315,596.57208,Cer 37:1;3O|Cer 18:1;2O/19:0;O,[M+H]+,TRUE,10.76,596.56122,410,TRUE,TRUE,TRUE,78.8,99.9,25.1,30.9,100.0,276077,255281,366390,245082,181771,293217,269463,361723,213530,176418,318095,238055,369814,231232,179205,2.1722232399868500
19534,6308,7.178,368.32074,w/o MS2:Cer 12:1;2O/10:0;O,[M+H]+,FALSE,6.26,368.31589,530,TRUE,TRUE,FALSE,88.9,100.0,,,,396719,270608,245263,269937,168529,410355,281304,259171,237198,172760,455438,261552,257162,264209,182597,2.1727499118490700
1173,16874,5.202,766.54041,PE 38:5|PE 16:0_22:5,[M+H]+,TRUE,9.39,766.53809,410,TRUE,TRUE,TRUE,100.0,99.9,55.3,74.0,100.0,6968251,543500,11854639,571017,238794,6981329,541622,13011962,479630,241852,7255567,546675,12380368,608273,221312,2.172970662241900
25649,21736,10.901,915.81964,w/o MS2:SL 18:1;O/36:0;O,[M+H]+,FALSE,14.39,915.81567,530,TRUE,TRUE,FALSE,92.4,99.9,,,,0,0,0,0,0,0,405346,0,0,0,0,0,0,0,0,2.1732972403031600
1848,17416,9.627,783.65021,TG 45:2|TG 9:0_18:1_18:1,[M+Na]+,TRUE,13.71,783.64728,410,TRUE,TRUE,TRUE,100.0,99.9,69.9,74.1,100.0,0,133081,19243,529210,0,0,123184,21418,569326,0,0,113009,0,559530,0,2.1741659374392400
4079,1802,0.778,200.23737,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,194026,284211,344351,309578,117397,205752,262418,376710,261881,124527,208377,260292,342829,275179,130886,2.176178018663280
20137,21766,12.126,916.9046,w/o MS2:Cer 22:1;3O/38:0;(2OH),[M+H]+,FALSE,14.96,916.90552,530,TRUE,TRUE,FALSE,99.6,100.0,,,,0,0,34472,0,0,0,0,25373,0,0,0,0,29816,0,0,2.1790836151759500
1706,17090,6.725,773.65295,SM 39:1;2O|SM 17:1;2O/22:0,[M+H]+,TRUE,11.26,773.65308,410,TRUE,TRUE,TRUE,100.0,99.9,81.8,82.9,100.0,0,0,1969215,0,705246,0,0,2181022,0,745140,0,0,2079339,0,775704,2.1796934919464500
365,14024,7.389,664.59058,DG 38:3|DG 18:1_20:2,[M+NH4]+,TRUE,12.62,664.58752,410,TRUE,TRUE,TRUE,100.0,99.9,3.8,90.9,100.0,321842,244851,237026,255195,255954,297359,226796,251912,229910,248777,298159,223715,230769,239614,247902,2.1800259250748200
10166,9042,9.339,465.39371,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,272795,0,0,0,0,290813,0,0,0,0,283137,0,2.1812515461658900
18146,26476,9.834,1546.32068,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,64193,0,654412,0,0,69552,0,654044,0,0,48065,0,690674,0,2.1817590234968100
1239,16493,6.59,754.57782,PE P-38:3|PE P-18:0_20:3,[M+H]+,TRUE,11.21,754.57452,410,TRUE,TRUE,TRUE,100.0,99.9,75.1,91.8,100.0,2701826,3288829,42827,396587,48201,2893980,3238947,1336768,367983,0,2820268,3178458,347389,397106,0,2.182432653502380
909,18181,4.776,806.56891,PC 38:6|PC 18:2_20:4,[M+H]+,TRUE,8.99,806.5694,410,TRUE,TRUE,TRUE,100.0,99.9,87.8,76.2,100.0,281856,3691522,6982761,2820077,2842155,285824,3778035,7296616,2701663,2880582,123351760,3507585,7319200,375901,2735848,2.183158510783070
24045,26304,5.751,1528.17273,w/o MS2:RIKEN P-VS1 ID-20429 from Mouse_Brain_WT_N_w6rich,[M+H]+,TRUE,10.56,1528.17773,530,TRUE,TRUE,FALSE,98.7,99.9,,,,0,0,0,0,0,0,414076,0,0,0,0,377890,0,0,0,2.184442856745640
1062,17232,6.978,778.57465,PC O-37:6,[M+H]+,TRUE,9.55,778.57452,420,TRUE,TRUE,TRUE,89.8,100.0,9.6,69.2,100.0,1318280,61132,0,0,0,1369592,56675,0,0,0,1388849,60941,0,0,0,2.184757827759590
11762,11542,4.131,559.54468,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,108901,115809,102361,112158,99850,98267,115708,96155,103057,105893,107385,105553,102456,105190,95150,2.1848154728433000
24629,13837,6.208,656.5694,w/o MS2:RIKEN P-VS1 ID-6947 from Mouse_SmallIntestine_WT_N_F1,[M+H]+,FALSE,13.14,656.56238,530,TRUE,TRUE,FALSE,78.2,99.8,,,,0,0,132838,0,0,194704,138536,0,66759,8889,0,4778,0,0,7078,2.185137630687310
44,16890,5.719,766.68054,1_SM d18:1/20:1-d9_ISTD_[M+H]+,[M+H]+,TRUE,5.78,766.67828,annotated by user-defined text library,TRUE,TRUE,FALSE,92.6,85.2,,,,5654786,4501028,5770050,4241856,2146316,6222318,4658878,6740787,3870779,2179733,5865898,4520357,6502890,4047108,2175705,2.186321140890370
1937,19593,10.409,846.75439,TG 50:3|TG 16:0_16:1_18:2,[M+NH4]+,TRUE,14.1,846.75452,410,TRUE,TRUE,TRUE,100.0,99.9,69.6,96.7,100.0,193177,16518375,8656685,549269184,11743873,193589,16329266,8489571,530748672,11670980,200414,16573133,8711164,554666816,11279343,2.1865203464459600
234,13229,8.0,630.61798,Cer 42:2;2O|Cer 18:1;2O/24:1,[M+H-H2O]+,TRUE,13.03,630.61841,410,TRUE,TRUE,TRUE,100.0,99.9,89.1,95.1,100.0,5288351,140796,2523157,84745,202453,5454250,128012,2561076,328687,92807,4910736,116555,2531070,317945,204657,2.186642251319720
11982,11915,10.797,575.50287,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,66552,5881062,3061700,34638888,2457972,72362,6297966,2953228,35162720,2276864,69650,5974192,2899477,34884760,2797035,2.1870907264837200
13331,14600,6.63,686.71796,Unknown,[M+NH4]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,470932,547140,390084,375238,309550,468376,547523,428915,373518,311585,454103,527289,412163,384763,315242,2.1876347002484500
129,9607,1.221,486.35135,Cer 30:6;4O,[M+H-H2O]+,TRUE,6.07,486.35779,420,TRUE,TRUE,TRUE,75.8,99.9,41.4,64.9,92.9,563272,592456,554786,644458,383598,592398,593870,562936,572750,369187,563583,601295,596339,618765,363762,2.1878139722955800
24904,13185,6.72,628.60223,w/o MS2:SE 28:1/14:0,[M+H]+,FALSE,14.46,628.60272,530,TRUE,TRUE,FALSE,99.9,99.7,,,,99104,0,0,0,0,105682,0,0,0,0,0,0,0,0,0,2.1902249347258200
21870,12751,5.565,609.52374,w/o MS2:NAGly 8:0;O(FA 26:2),[M+H]+,FALSE,8.98,609.52008,530,TRUE,TRUE,FALSE,93.5,99.9,,,,649475,0,201592,37933,0,810849,40165,195845,32893,0,722474,0,205178,27977,0,2.192320564530920
