index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
23715,22829,2.396,963.64514,w/o MS2:RIKEN P-VS1 ID-16897 from Mouse_SmallIntestine_fads2KO_N_Ctr,[M+H]+,FALSE,6.83,963.65253,530,TRUE,TRUE,FALSE,76.1,99.9,,,,0,0,184717,0,0,0,0,197954,0,0,0,0,187174,0,0,1.808052961794730
23486,20862,5.219,886.57666,w/o MS2:RIKEN P-VS1 ID-14718 from Mouse_Kidney_WT_N_F1EPA,[M+H]+,FALSE,9.3,886.57037,530,TRUE,TRUE,FALSE,82.1,99.9,,,,0,0,0,0,0,0,0,0,20966,0,0,0,0,0,0,1.8080529712413200
23739,22986,6.566,972.58716,w/o MS2:RIKEN P-VS1 ID-17083 from Mouse_Plasma_ApoEKO_N_F1EPA,[M+H]+,FALSE,10.21,972.57928,530,TRUE,TRUE,FALSE,73.3,99.9,,,,0,0,79017,0,9785,0,0,89915,0,14640,0,0,93413,0,8366,1.808064139578790
3413,1125,8.503,175.14813,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,55847,0,0,0,0,57006,0,0,0,0,61154,0,0,1.8080766726259600
18754,27291,6.171,1653.16064,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.808099764675240
9357,7903,3.97,424.48737,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,837620,432659,1350491,1859485,1383682,860942,443512,1321858,1738716,1318522,843940,449468,1323791,1875032,1353410,1.8081200377546200
20614,22054,6.025,927.67542,w/o MS2:DG 58:14,[M+H]+,TRUE,13.46,927.68372,530,TRUE,TRUE,FALSE,90.5,99.7,,,,0,0,0,21242,0,0,0,0,29364,0,0,0,0,22985,0,1.8081223087706700
1472,24933,7.237,1212.03967,RIKEN P-VS1 ID-18984 from Cell_HeLa_WT_N_Ctr,[M+H]+,TRUE,11.7,1212.03772,430,TRUE,TRUE,TRUE,84.6,99.9,70.7,75.0,100.0,0,0,0,0,0,0,0,0,8013,0,0,0,325622,0,0,1.8081333364893000
11471,11022,2.951,539.12836,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,5552,15789,29508,0,11055,10461,7605,11011,0,11240,9590,17795,29882,0,9451,1.8081383402934400
2837,531,8.118,145.10164,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,94746,0,0,0,0,95775,0,0,0,0,102874,0,0,1.8081673118379400
