index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
6815,4723,11.201,311.14746,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7230289197904500
19153,8969,3.95,462.35904,w/o MS2:CAR 21:4,[M+H]+,FALSE,5.93,462.35779,530,TRUE,TRUE,FALSE,99.2,100.0,,,,0,0,0,68602,0,0,0,0,73408,0,0,0,0,83092,0,1.72303906300837
26928,14143,7.964,668.5849,w/o MS2:TG 8:0_8:0_21:1,[M+NH4]+,FALSE,12.17,668.5824,530,TRUE,TRUE,FALSE,96.9,99.9,,,,0,0,0,155518,0,0,0,0,143468,0,0,0,0,155826,0,1.7230396952181300
7045,4993,2.514,321.25644,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,12318,0,0,0,0,0,0,1.7230427549708800
8162,6335,2.388,369.18909,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7230471643518200
7076,5036,11.377,323.19748,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7230497044109500
21832,8301,1.706,436.31018,w/o MS2:NAGly 8:0;O(FA 15:3),[M+2H]2+,FALSE,5.98,436.30569,530,TRUE,TRUE,FALSE,90.4,99.9,,,,0,0,0,146663,0,0,0,0,147347,0,0,0,0,166506,0,1.72305473642801
14982,19093,3.719,832.52631,Unknown,[M+2H]2+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,530590,0,0,0,0,492376,0,0,0,0,464732,0,1.7230683274068200
5937,3761,11.236,274.88089,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723076908024020
27231,20938,9.916,888.80444,w/o MS2:TG 8:0_9:0_36:3,[M+H]+,TRUE,14.53,888.80151,530,TRUE,TRUE,FALSE,98.7,99.9,,,,0,255489,0,0,0,0,0,0,0,0,0,280900,193605,0,178111,1.723078272644750
3252,963,0.473,168.06561,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,28565,0,0,0,0,29188,0,0,0,0,24692,0,0,1.7230802081214700
21620,5546,0.455,342.26367,w/o MS2:MG 16:3,[M+H]+,FALSE,5.36,342.26389,530,TRUE,TRUE,FALSE,100.0,99.9,,,,0,0,0,448743,0,0,0,0,476226,0,0,0,0,519238,0,1.7230828260159300
144,10472,5.304,518.49286,Cer 34:2;2O|Cer 18:2;2O/16:0,[M+H-H2O]+,TRUE,8.95,518.49323,410,TRUE,TRUE,TRUE,100.0,99.9,87.5,96.1,100.0,103996,0,1337720,0,0,90623,0,1297488,0,0,98055,0,1192535,0,0,1.7231007413469800
22309,13879,4.683,658.48352,w/o MS2:PC O-28:3,[M+H]+,FALSE,7.98,658.48059,530,TRUE,TRUE,FALSE,95.8,99.9,,,,0,0,70553,0,0,0,0,0,0,0,0,0,76829,0,0,1.723111915164920
22072,8789,2.172,455.38635,w/o MS2:NAOrn 21:1;O,[M+H]+,FALSE,6.81,455.38431,530,TRUE,TRUE,FALSE,97.9,99.9,,,,0,0,0,61161,0,0,0,0,56683,0,0,0,0,67610,0,1.7231165516982700
5398,3172,0.588,249.06836,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,31740,147369,0,0,0,28451,142513,0,0,0,27269,150054,0,1.7231175558212300
13105,14033,6.491,664.67365,Unknown,[M+H]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,2485701,0,0,0,0,2500125,0,0,0,0,2533340,0,1.7231192204077800
9127,7586,3.006,413.32513,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,32660,0,0,0,0,38095,0,0,0,0,34180,0,1.723133035345690
25771,12238,8.236,589.43799,w/o MS2:SM 12:1;2O/14:1,[M+H]+,FALSE,7.1,589.43402,530,TRUE,TRUE,FALSE,92.4,100.0,,,,0,0,28925,0,0,0,0,29955,0,0,0,0,29259,0,0,1.7231498920008000
12862,13481,0.418,641.91406,Unknown,[M+2H]2+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,422497,0,0,0,0,464796,0,0,0,0,523787,0,1.723202241562250
15029,19224,0.412,836.19952,Unknown,[M+NH4]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,199004,0,0,0,0,199463,0,0,0,0,211143,0,1.7232125398696900
14924,18869,0.41,825.54547,Unknown,[M+2H]2+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7232442424207200
