Name,SpectrumId,ClusterId,SubmissionId
"2-Aminobutanoic acid, 2TMS derivative",378226,1273212,152
"2-Methylalanine, 2TMS derivative",376822,1271808,149
Unknown,369389,1264469,139
Unknown,369418,1264498,139
"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",378566,1273552,153
Unknown,369025,1264106,138
"Undecane, 4,6-dimethyl-",370180,1265207,140
Unknown,371095,1266085,140
Unknown,376918,1271904,149
"Benzeneethanamine, .alpha.-methyl-3-[4-methylphenyloxy]-",378223,1273209,152
"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",377735,1272721,151
"2-[2-[2-[2-[2-[2-[2-(2,2,3,3,4,4,4-Heptafluorobutanoyl)oxyethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl 2,2,3,3,4,4,4-heptafluorobutanoate",377290,1272276,150
Unknown,371413,1266403,140
"Oxalic acid, hexyl neopentyl ester",370179,1265207,140
Unknown,369059,1264140,138
"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",378571,1273557,153
Unknown,370785,1265777,140
Unknown,370799,1265791,140
Unknown,377556,1272542,150
Unknown,370390,1265393,140
Unknown,378958,1273944,153
Unknown,369638,1264718,139
Unknown,376648,1271634,148
Unknown,377130,1272116,149
Unknown,370642,1265636,140
Unknown,377744,1272730,151
Unknown,371313,1266303,140
Unknown,378107,1273093,151
Unknown,376750,1271736,148
Unknown,369948,1265028,139
Unknown,370137,1265176,140
Unknown,370177,1265176,140
Unknown,377525,1272511,150
Unknown,377970,1272956,151
Unknown,377154,1272140,149
"Succinic acid, 2,2,3,3-tetrafluoropropyl 3-methylbut-3-en-1-yl ester",369498,1264578,139
Unknown,370475,1265474,140
Unknown,370394,1265397,140
Unknown,377664,1272650,150
Unknown,369627,1264707,139
Unknown,378484,1273470,152
".beta.-Alanine, 2TMS derivative",378588,1273574,153
"Bis(tert-butyldimethylsilyl) carbonate",369003,1264086,138
Unknown,369744,1264824,139
Unknown,370595,1265590,140
Unknown,371290,1266280,140
Unknown,378960,1273946,153
Unknown,371301,1266291,140
Unknown,376762,1271748,148
Unknown,377128,1272114,149
Unknown,377767,1272753,151
Unknown,376683,1271669,148
Unknown,378928,1273914,153
Unknown,377628,1272614,150
Unknown,377768,1272754,151
Methyltris(trimethylsiloxy)silane,370202,1265223,140
Unknown,370742,1265735,140
Unknown,377598,1272584,150
Unknown,371474,1266464,140
"Phenol, 2,4,6-tris(1-methylethyl)-",369558,1264638,139
Unknown,370209,1265230,140
Unknown,370264,1265276,140
Unknown,371348,1266338,140
Unknown,370322,1265329,140
"s-Triazolo[4,3-a]pyridine-3-thiol, 8-methyl-",369007,1264090,138
Unknown,369996,1265076,139
Unknown,370328,1265334,140
Unknown,377285,1272271,150
Unknown,377764,1272750,151
Unknown,378603,1273589,153
Unknown,378211,1273197,152
Unknown,376824,1271810,149
Unknown,370136,1265175,140
Unknown,371247,1266237,140
Unknown,370001,1265081,140
"2,4-Di-tert-butylphenol",369455,1264535,139
"2,4-Di-tert-butylphenol",369478,1264558,139
Unknown,370086,1265137,140
Unknown,377610,1272596,150
Unknown,369018,1264100,138
Unknown,371491,1266481,140
Unknown,378499,1273485,152
"Phenol, 4,6-di(1,1-dimethylethyl)-2-methyl-",367182,1262265,133
