,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
2247,HMDB0047014,"TG(24:0/14:0/18:2(9Z,12Z))",C59H110O6,915.523,914.830241262,"(2S)-3-[(9Z,12Z)-octadeca-9,12-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(9Z,12Z)-octadeca-9,12-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C59H110O6/c1-4-7-10-13-16-19-22-24-26-27-28-29-30-31-33-35-38-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-36-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-37-34-32-25-23-20-17-14-11-8-5-2/h17,20,25,32,56H,4-16,18-19,21-24,26-31,33-55H2,1-3H3/b20-17-,32-25-/t56-/m1/s1",IPMCDSYSCPXHTB-YGKYETHISA-N
2248,HMDB0047016,TG(24:0/14:0/20:2n6),C61H114O6,943.577,942.861541391,"(2S)-3-[(11Z,14Z)-icosa-11,14-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(11Z,14Z)-icosa-11,14-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C61H114O6/c1-4-7-10-13-16-19-22-24-26-28-29-30-31-33-35-37-40-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-38-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-39-36-34-32-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,58H,4-16,18-19,21-24,26,28-57H2,1-3H3/b20-17-,27-25-/t58-/m1/s1",AGHHOFLCBXWHOS-FURYJAGQSA-N
2249,HMDB0047017,TG(24:0/14:0/20:3n6),C61H112O6,941.561,940.845891326,"(2S)-3-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C61H112O6/c1-4-7-10-13-16-19-22-24-26-28-29-30-31-33-35-37-40-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-38-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-39-36-34-32-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,34,36,58H,4-16,18-19,21-24,26,28-33,35,37-57H2,1-3H3/b20-17-,27-25-,36-34-/t58-/m1/s1",CCYKAYZERNIDEA-FQXMZLCQSA-N
2250,HMDB0047018,"TG(24:0/14:0/20:4(5Z,8Z,11Z,14Z))",C61H110O6,939.545,938.830241262,"(2S)-3-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C61H110O6/c1-4-7-10-13-16-19-22-24-26-28-29-30-31-33-35-37-40-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-38-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-39-36-34-32-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,34,36,41,44,58H,4-16,18-19,21-24,26,28-33,35,37-40,42-43,45-57H2,1-3H3/b20-17-,27-25-,36-34-,44-41-/t58-/m1/s1",KGCOMYRIEUMHBE-QIMKBFHLSA-N
2251,HMDB0047019,"TG(24:0/14:0/22:2(13Z,16Z))",C63H118O6,971.631,970.89284152,"(2S)-3-[(13Z,16Z)-docosa-13,16-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(13Z,16Z)-docosa-13,16-dienoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C63H118O6/c1-4-7-10-13-16-19-22-24-26-28-30-31-33-35-37-39-42-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-40-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-41-38-36-34-32-29-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,60H,4-16,18-19,21-24,26,28-59H2,1-3H3/b20-17-,27-25-/t60-/m1/s1",VYZRRPSXSDYNCO-OGZGDILSSA-N
2252,HMDB0047020,"TG(24:0/14:0/22:4(7Z,10Z,13Z,16Z))",C63H114O6,967.599,966.861541391,"(2S)-3-[(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C63H114O6/c1-4-7-10-13-16-19-22-24-26-28-30-31-33-35-37-39-42-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-40-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-41-38-36-34-32-29-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,32,34,38,41,60H,4-16,18-19,21-24,26,28-31,33,35-37,39-40,42-59H2,1-3H3/b20-17-,27-25-,34-32-,41-38-/t60-/m1/s1",SWJAOFQRGQDADV-DDESYYAESA-N
2253,HMDB0047021,"TG(24:0/14:0/22:5(4Z,7Z,10Z,13Z,16Z))",C63H112O6,965.583,964.845891326,"(2S)-3-[(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-24-26-28-30-31-33-35-37-39-42-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-40-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-41-38-36-34-32-29-27-25-23-20-17-14-11-8-5-2/h17,20,25,27,32,34,38,41,46,49,60H,4-16,18-19,21-24,26,28-31,33,35-37,39-40,42-45,47-48,50-59H2,1-3H3/b20-17-,27-25-,34-32-,41-38-,49-46-/t60-/m1/s1",ISJUEJIQJNPESE-IQVOXYQMSA-N
2254,HMDB0047024,"TG(24:0/14:0/20:4(8Z,11Z,14Z,17Z))",C61H110O6,939.545,938.830241262,"(2S)-3-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C61H110O6/c1-4-7-10-13-16-19-22-24-26-28-29-30-31-33-35-37-40-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-38-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-39-36-34-32-27-25-23-20-17-14-11-8-5-2/h8,11,17,20,25,27,34,36,58H,4-7,9-10,12-16,18-19,21-24,26,28-33,35,37-57H2,1-3H3/b11-8-,20-17-,27-25-,36-34-/t58-/m1/s1",VGJLRVHUGWORNM-UXNDQROASA-N
2255,HMDB0047026,"TG(24:0/14:0/22:5(7Z,10Z,13Z,16Z,19Z))",C63H112O6,965.583,964.845891326,"(2S)-3-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-24-26-28-30-31-33-35-37-39-42-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-40-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-41-38-36-34-32-29-27-25-23-20-17-14-11-8-5-2/h8,11,17,20,25,27,32,34,38,41,60H,4-7,9-10,12-16,18-19,21-24,26,28-31,33,35-37,39-40,42-59H2,1-3H3/b11-8-,20-17-,27-25-,34-32-,41-38-/t60-/m1/s1",LTKCBUMGVCUVPG-XQCODHMDSA-N
2256,HMDB0047027,"TG(24:0/14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H110O6,963.567,962.830241262,"(2S)-3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate","(2S)-3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyloxy]-2-(tetradecanoyloxy)propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC,"InChI=1S/C63H110O6/c1-4-7-10-13-16-19-22-24-26-28-30-31-33-35-37-39-42-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-40-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-41-38-36-34-32-29-27-25-23-20-17-14-11-8-5-2/h8,11,17,20,25,27,32,34,38,41,46,49,60H,4-7,9-10,12-16,18-19,21-24,26,28-31,33,35-37,39-40,42-45,47-48,50-59H2,1-3H3/b11-8-,20-17-,27-25-,34-32-,41-38-,49-46-/t60-/m1/s1",AOEMOZQBRAJCGN-DZPQYBBBSA-N
2257,HMDB0047054,TG(24:0/16:0/14:1(9Z)),C57H108O6,889.485,888.814591198,(2S)-2-(hexadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propyl tetracosanoate,(2S)-2-(hexadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propyl tetracosanoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-24-25-26-27-28-29-30-31-33-35-38-41-44-47-50-56(59)62-53-54(52-61-55(58)49-46-43-40-37-34-21-18-15-12-9-6-3)63-57(60)51-48-45-42-39-36-32-23-20-17-14-11-8-5-2/h15,18,54H,4-14,16-17,19-53H2,1-3H3/b18-15-/t54-/m1/s1",QOPDMHCKZZFVHH-IXHOOSMISA-N
2258,HMDB0047055,TG(24:0/16:0/16:1(9Z)),C59H112O6,917.539,916.845891326,(2S)-3-[(9Z)-hexadec-9-enoyloxy]-2-(hexadecanoyloxy)propyl tetracosanoate,(2S)-3-[(9Z)-hexadec-9-enoyloxy]-2-(hexadecanoyloxy)propyl tetracosanoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C59H112O6/c1-4-7-10-13-16-19-22-25-26-27-28-29-30-31-32-35-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-23-20-17-14-11-8-5-2/h20,23,56H,4-19,21-22,24-55H2,1-3H3/b23-20-/t56-/m1/s1",IZQSAPJJVMUNHL-BUKBLQRKSA-N
2259,HMDB0047058,TG(24:0/16:0/20:1(11Z)),C63H120O6,973.647,972.908491584,(2S)-2-(hexadecanoyloxy)-3-[(11Z)-icos-11-enoyloxy]propyl tetracosanoate,(2S)-2-(hexadecanoyloxy)-3-[(11Z)-icos-11-enoyloxy]propyl tetracosanoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H120O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h26,28,60H,4-25,27,29-59H2,1-3H3/b28-26-/t60-/m1/s1",WOZPSEZFVJBYJL-FLTKJYRDSA-N
2260,HMDB0047059,"TG(24:0/16:0/20:3(5Z,8Z,11Z))",C63H116O6,969.615,968.877191455,"(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H116O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h26,28,35,38,43,46,60H,4-25,27,29-34,36-37,39-42,44-45,47-59H2,1-3H3/b28-26-,38-35-,46-43-/t60-/m1/s1",VPGFYQNSTYPTAI-KXCYRNGVSA-N
2261,HMDB0047062,"TG(24:0/16:0/18:2(9Z,12Z))",C61H114O6,943.577,942.861541391,"(2S)-2-(hexadecanoyloxy)-3-[(9Z,12Z)-octadeca-9,12-dienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(9Z,12Z)-octadeca-9,12-dienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C61H114O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-31-32-34-37-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-35-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-36-33-26-23-20-17-14-11-8-5-2/h17,20,26,33,58H,4-16,18-19,21-25,27-32,34-57H2,1-3H3/b20-17-,33-26-/t58-/m1/s1",NSRSRNOQDGUIQQ-AWYLIJQVSA-N
2262,HMDB0047063,"TG(24:0/16:0/18:3(6Z,9Z,12Z))",C61H112O6,941.561,940.845891326,"(2S)-2-(hexadecanoyloxy)-3-[(6Z,9Z,12Z)-octadeca-6,9,12-trienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(6Z,9Z,12Z)-octadeca-6,9,12-trienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C61H112O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-31-32-34-37-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-35-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-36-33-26-23-20-17-14-11-8-5-2/h17,20,26,33,38,41,58H,4-16,18-19,21-25,27-32,34-37,39-40,42-57H2,1-3H3/b20-17-,33-26-,41-38-/t58-/m1/s1",CSNMMADQHKSQLN-AMLZRHAWSA-N
2263,HMDB0047064,TG(24:0/16:0/20:2n6),C63H118O6,971.631,970.89284152,"(2S)-2-(hexadecanoyloxy)-3-[(11Z,14Z)-icosa-11,14-dienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(11Z,14Z)-icosa-11,14-dienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H118O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,60H,4-16,18-19,21-25,27,29-59H2,1-3H3/b20-17-,28-26-/t60-/m1/s1",QMUANRQBCWCFMK-PWULZGLXSA-N
2264,HMDB0047065,TG(24:0/16:0/20:3n6),C63H116O6,969.615,968.877191455,"(2S)-2-(hexadecanoyloxy)-3-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H116O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,35,38,60H,4-16,18-19,21-25,27,29-34,36-37,39-59H2,1-3H3/b20-17-,28-26-,38-35-/t60-/m1/s1",ABFACKHFNWRLBN-UJOSCSIKSA-N
2265,HMDB0047066,"TG(24:0/16:0/20:4(5Z,8Z,11Z,14Z))",C63H114O6,967.599,966.861541391,"(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H114O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,35,38,43,46,60H,4-16,18-19,21-25,27,29-34,36-37,39-42,44-45,47-59H2,1-3H3/b20-17-,28-26-,38-35-,46-43-/t60-/m1/s1",MASGOWIBHUPTSI-SFVLEJGZSA-N
2266,HMDB0047070,"TG(24:0/16:0/18:3(9Z,12Z,15Z))",C61H112O6,941.561,940.845891326,"(2S)-2-(hexadecanoyloxy)-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C61H112O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-31-32-34-37-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-35-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-36-33-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,33,58H,4-7,9-10,12-16,18-19,21-25,27-32,34-57H2,1-3H3/b11-8-,20-17-,33-26-/t58-/m1/s1",XMIDMFLTTPZJFG-DTGSQNBHSA-N
2267,HMDB0047071,"TG(24:0/16:0/18:4(6Z,9Z,12Z,15Z))",C61H110O6,939.545,938.830241262,"(2S)-2-(hexadecanoyloxy)-3-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(6Z,9Z,12Z,15Z)-octadeca-6,9,12,15-tetraenoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C61H110O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-31-32-34-37-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-35-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-36-33-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,33,38,41,58H,4-7,9-10,12-16,18-19,21-25,27-32,34-37,39-40,42-57H2,1-3H3/b11-8-,20-17-,33-26-,41-38-/t58-/m1/s1",WAYMRLQEAVIHIN-LQRXYVGKSA-N
2268,HMDB0047072,"TG(24:0/16:0/20:4(8Z,11Z,14Z,17Z))",C63H114O6,967.599,966.861541391,"(2S)-2-(hexadecanoyloxy)-3-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H114O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,28,35,38,60H,4-7,9-10,12-16,18-19,21-25,27,29-34,36-37,39-59H2,1-3H3/b11-8-,20-17-,28-26-,38-35-/t60-/m1/s1",MLAAGFLYGGJEIR-UJCBBSHKSA-N
2269,HMDB0047073,"TG(24:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))",C63H112O6,965.583,964.845891326,"(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]propyl tetracosanoate","(2S)-2-(hexadecanoyloxy)-3-[(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoyloxy]propyl tetracosanoate",Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C63H112O6/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-34-36-39-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-37-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-38-35-33-28-26-23-20-17-14-11-8-5-2/h8,11,17,20,26,28,35,38,43,46,60H,4-7,9-10,12-16,18-19,21-25,27,29-34,36-37,39-42,44-45,47-59H2,1-3H3/b11-8-,20-17-,28-26-,38-35-,46-43-/t60-/m1/s1",CSXWGAYDXHHFDH-JDRQHAIFSA-N
2270,HMDB0047078,TG(24:0/18:0/14:1(9Z)),C59H112O6,917.539,916.845891326,(2S)-2-(octadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propyl tetracosanoate,(2S)-2-(octadecanoyloxy)-3-[(9Z)-tetradec-9-enoyloxy]propyl tetracosanoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCCCCCCCCCCCC,"InChI=1S/C59H112O6/c1-4-7-10-13-16-19-22-24-26-27-28-29-30-31-33-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-32-25-23-20-17-14-11-8-5-2/h15,18,56H,4-14,16-17,19-55H2,1-3H3/b18-15-/t56-/m1/s1",KWWVXMLEUYDGGY-AAABZKSKSA-N
2271,HMDB0047080,TG(24:0/18:0/18:1(11Z)),C63H120O6,973.647,972.908491584,(2S)-3-[(11Z)-octadec-11-enoyloxy]-2-(octadecanoyloxy)propyl tetracosanoate,(2S)-3-[(11Z)-octadec-11-enoyloxy]-2-(octadecanoyloxy)propyl tetracosanoate,Nah,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,"InChI=1S/C63H120O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-32-33-36-38-41-44-47-50-53-56-62(65)68-59-60(69-63(66)57-54-51-48-45-42-39-35-27-24-21-18-15-12-9-6-3)58-67-61(64)55-52-49-46-43-40-37-34-26-23-20-17-14-11-8-5-2/h20,23,60H,4-19,21-22,24-59H2,1-3H3/b23-20-/t60-/m1/s1",PDFGKXGOWBDITR-SVFUARKBSA-N
