Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
11191025,11734295,13311173,171894,197712,207263,1115840,1360151,1561465,326369,369434,326326,0,0,0
0,0,5702,25742,45997,40676,750975,938316,928862,0,0,0,0,0,0
0,3964,10584,3315,0,0,686060,775421,769125,0,0,0,5195,0,4151
44107,35367,138382,27265,49157,34613,2823817,3118618,3167708,0,0,0,27329,0,27858
281413,372459,657599,123787,131684,124811,925865,925429,1099022,56534,48211,70889,219368,108531,215408
371836,364404,559040,5526,811,2949,257540,347526,333861,0,6258,0,0,6536,0
1016409,1112106,1688148,4333,8892,1760,629947,890494,846022,0,6952,9376,1041,0,5957
158305,206652,266429,129615,142971,96231,1724215,2097933,2000463,113265,104159,124880,70753,0,43466
32225,55424,104735,77149,68990,57686,877244,709125,817534,0,0,0,96570,0,75475
533916,547678,894200,66418,78073,52815,855519,1049114,1050835,38650,52106,61184,47738,7279,70329
43997,69557,81249,96445,108849,105576,2138554,2765978,2381230,16077,13926,36348,29569,0,35858
82043,98126,232218,88444,80520,73456,672824,542902,666557,18917,26312,27209,271971,49805,213048
988159,1116611,1634078,20561,9023,22421,346402,421298,438374,34769,17403,13067,156504,20007,160224
441341,528229,753747,0,0,0,0,0,0,0,0,0,0,0,0
1852,3925,2550,55266,56042,58221,7673156,8469581,8649761,10043,8971,7085,93259,8865,54033
953391,1005102,1316483,123704,146066,107449,2117477,2696726,2515228,348920,375970,379699,116942,7035,91741
1020056,1344957,2080321,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11726,23364,27908,4319986,4709406,4986723,0,0,0,106947,3733,106712
0,6115,5834,73405,62106,71454,2688024,2391126,2795426,0,3376,4922,72452,0,68485
965,1020,2216,3207,0,0,739221,898787,959915,0,0,0,23595,0,18956
146488,184446,266487,0,0,0,350123,424533,397652,0,0,0,0,0,0
0,0,3738,5435,3205,0,1886568,1343611,1805374,0,0,6518,58257,0,38210
878350,990559,1492764,1335528,1530024,1410156,50043340,54907647,56549203,856029,916982,1010382,244941,98054,311235
