Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
85,,CAR 15:0,386.3279,1.203,0,0,12108,431427,512716,431700,38222,50853,35875,14340,18127,20751,3054,381,4006
86,,CAR 16:0,400.3434,1.559,194643,204620,251319,4957359,5038536,4634056,157035,189984,184702,2537344,2587737,2875641,571869,160249,618530
87,,CAR 16:1,398.3279,1.171,29628,28263,36302,352486,406678,373114,0,721,4554,1090445,1167732,1108351,158198,34871,158393
88,,CAR 16:2,396.3121,0.915,0,0,0,112189,108813,102449,0,0,0,362831,344509,390480,11285,0,13809
89,,CAR 17:0 isomer A,414.3593,1.81,11805,9676,16860,986974,1030390,920124,114113,133650,125214,40002,54722,53004,10778,2377,8257
90,,CAR 17:0 isomer B,414.359,1.903,12973,9372,8504,419062,473804,426244,34533,34537,30979,58886,67599,66992,11317,6724,13908
91,,CAR 18:0 isomer A,428.3748,2.073,11405,1445,85062,52851,90132,57153,9617,8630,4541,6580,5352,5684,14851,3734,21730
92,,CAR 18:0 isomer B,428.3752,2.312,344510,384956,443578,20027098,22129778,19745150,1386259,1486667,1499788,1562360,1726896,1734980,315438,89820,297660
93,,CAR 18:1,426.3595,1.771,261144,252399,292819,2532174,2476015,2455984,95878,110919,95708,3339020,3472094,3316371,702642,175592,652944
94,,CAR 18:2,424.3435,1.3,10716,2141,4759,4757526,5475907,4774206,343065,374749,385461,1824260,2010808,2010165,361766,91448,366351
95,,CAR 19:0 isomer A,442.3913,2.629,6422,10614,9992,1176691,1226182,1145885,403289,460211,437813,3022,2082,2934,3132,2678,7687
96,,CAR 19:0 isomer B,442.3904,2.759,10077,7030,7531,1037884,1155190,996601,29171,39301,45839,8186,10176,5130,3729,2925,4666
97,,CAR 20:0,456.4062,3.122,123656,102698,144933,32494984,33060268,31695818,499641,580013,596671,91240,103648,94028,87796,40562,72544
98,,CAR 20:1,454.3907,2.469,67684,67124,83755,6428962,6674375,5821830,46186,75714,62712,128570,143375,134982,27881,0,11393
99,,CAR 20:2,452.375,1.976,2800,0,0,623073,700864,630376,0,5320,2278,99754,128069,115757,6039,2152,5724
100,,CAR 20:3,450.3592,1.499,0,2285,0,334029,343869,312655,93976,127671,106766,36527,48917,55977,10565,0,4342
101,,CAR 20:4,448.3437,1.271,100601,97637,108409,1199767,1403912,1164481,177162,193446,200963,190118,198119,210550,2844,0,6429
102,,CAR 21:0,470.4218,3.236,4012,8758,11025,1495684,1535835,1427658,1078520,1294836,1255811,15245,8077,7526,15967,4313,9816
