massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row254	253.0	730.0457	5.645	0.057445341774740484	-1.9216138446559463
row255	254.0	249.0623	2.04	3.2434501481715544e-05	-4.3493364673918915
row256	255.0	242.0484	1.135	0.7682145653862047	-0.29549748877768744
row257	256.0	129.0207	6.844	0.013957468891381754	-2.501499669251619
row258	257.0	181.0512	3.159	0.15694719908899518	1.4259115917793221
row259	258.0	403.0651	3.982	0.14199482572272454	1.47985194462769
row260	259.0	243.0324	0.394	0.3196643364513562	1.0000261841600278
row261	260.0	402.0344	5.643	0.22489991075607615	-1.221002662870639
row262	261.0	298.0413	3.516	0.00983605488098632	2.6309038641909224
row263	262.0	447.0541	2.48	0.43390386836904604	0.7856327285439165
row264	263.0	282.0566	2.635	0.5941167812959629	0.5345609927582043
row265	264.0	231.9915	3.409	0.07951032975722584	-1.771223649861324
row266	265.0	433.2049	4.985	0.2996616222516476	-1.0424629165399786
row267	266.0	134.0619	3.074	0.8969970707612749	0.129778736808036
row268	267.0	495.2565	2.79	0.8479379616050771	-0.19223803715531337
row269	268.0	343.138	2.741	0.20161629555435737	1.285247987579982
row270	269.0	453.174	3.054	0.32900198365395394	0.9808204686658034
row271	270.0	484.0367	5.644	0.7270970519507743	-0.349950976519435
row272	271.0	1043.0451	5.674	0.7098854899787437	-0.3730498235936657
row273	272.0	265.1081	3.399	0.32385870705295794	0.9913539388418957
row274	273.0	407.0628	3.749	0.30115820279468586	1.0392230623179461
row275	274.0	276.0253	3.337	0.10039354085399312	1.6579819547011667
row276	275.0	156.9916	4.795	0.04195856861673889	2.0598569343536908
row277	276.0	656.9931	5.667	0.02976550875976821	-2.2040969211033503
row278	277.0	351.0552	6.348	0.266874007444637	-1.11639995385025
row279	278.0	300.0382	1.435	0.42563446838408725	0.7998883179625955
row280	279.0	407.0014	7.932	0.7420033954144075	-0.33009737046308163
row281	280.0	243.1231	5.261	0.06496054922855449	-1.8656744848147573
row282	281.0	341.1072	5.745	0.42252299830033846	-0.8052945343381562
row283	282.0	361.1483	3.325	0.9514363442544074	0.061053156035140735
row284	283.0	243.0768	2.882	0.1328105916673807	1.5152159642053658
row285	284.0	279.0379	2.529	0.17456819388150396	1.3671996395121944
row286	285.0	385.1662	0.664	0.009849290459474571	2.6304151247819285
row287	286.0	302.1133	3.504	0.6340793385597191	-0.4774272813941453
row288	287.0	168.0784	5.834	0.2243733754391591	1.2224005176898924
row289	288.0	268.9963	0.7	0.0009900337525953421	-3.3915372608631547
row290	289.0	284.0877	2.542	0.5233095592556198	-0.6404603515416082
row291	290.0	173.0825	5.528	0.3037776182289794	-1.0335785357170595
row292	291.0	262.1036	5.505	0.5078292154208872	0.6645637481051007
row293	292.0	228.9996	0.537	0.24079615060413587	-1.1798705704258712
row294	293.0	401.0096	0.428	0.13559443515878083	-1.5042996800562296
row295	294.0	656.9941	5.711	0.4994906391829813	-0.6777089653143128
row296	295.0	182.0128	3.313	0.26697059693588904	1.1161731566278996
row297	296.0	300.0382	2.995	6.885829298993857e-05	4.150688046116194
row298	297.0	331.1202	0.584	0.23618642874072002	1.1915921418180115
row299	298.0	242.9962	3.151	0.0036152939707650715	2.9789090575104753
row300	299.0	391.0305	7.565	0.07011160436141586	1.8303902597215316
row301	300.0	239.0768	5.774	0.045521394379955026	2.0246048750490107
row302	301.0	290.087	5.421	0.00350906037930171	-2.9888436302052193
row303	302.0	447.0905	3.238	0.06859738920368107	1.840531553397237
row304	303.0	1067.0089	5.674	0.45728458714098874	-0.7461640543091597
row305	304.0	359.0796	1.519	0.008844032042224153	-2.669346089264452
row306	305.0	306.0356	3.622	0.0006882810179092423	3.501319429199835
row307	306.0	481.2413	3.612	0.5242324406133871	-0.6390352840587099
row308	307.0	249.1126	1.721	0.0065976685254839715	2.7733736591716225
row309	308.0	369.1531	2.713	0.7379678312979161	0.33545902519266624
row310	309.0	189.0032	0.402	0.9037515257579529	0.12122473221505584
row311	310.0	211.0609	3.143	0.39123193808359324	0.8610466068907283
row312	311.0	145.0627	5.795	0.8995315622685691	0.12656790571271456
row313	312.0	406.99	7.253	0.03382494444606796	2.1511569082607167
row314	313.0	170.9972	1.773	0.10506798582800188	-1.6353028574129533
row315	314.0	332.178	3.044	0.5952482087305829	-0.5329199073844206
row316	315.0	552.113	2.357	0.8531705040764141	0.18554442875127516
row317	316.0	397.0209	0.622	0.17153548602311156	1.3769720911434533
row318	317.0	325.1828	0.279	0.7161677501945436	-0.3645960667463118
row319	318.0	358.1026	1.492	0.11864243008195306	1.5737483814442121
row320	319.0	402.1567	0.6	0.2416934100989764	1.1776077299368328
row321	320.0	242.1219	3.32	0.9152897052287975	0.10663284482606504
row322	321.0	437.0639	0.356	0.4164980274187401	-0.8158307581013712
row323	322.0	529.2619	3.444	0.21676450952419468	1.2428720148366528
row324	323.0	325.1828	11.92	0.81718883480502	-0.23175988528904792
row325	324.0	325.1828	11.32	0.2501576807007327	1.1565503440548843
row326	325.0	170.9972	1.901	0.17076238694421697	1.3794842460410215
row327	326.0	600.2822	1.837	0.6496584463555242	-0.45558272344987627
row328	327.0	325.1828	0.055	0.01240486275550156	-2.545613848423654
row329	328.0	325.1828	11.118	0.35604662797279285	-0.9271319822867741
row330	329.0	244.0648	3.78	0.030788986772820832	-2.1901831958963744
row331	330.0	325.1829	11.521	0.4169428051415607	-0.8150498493259742
row332	331.0	557.0571	3.789	0.3126624814671132	1.0146731950360939
row333	332.0	232.0279	2.395	0.04598557724323269	-2.020187584519724
row334	333.0	403.1948	4.519	0.00031955631247443964	3.725846643566119
row335	334.0	330.0716	1.539	0.8351127561299472	0.20868187307912567
row336	335.0	283.2632	1.647	0.6187347452325942	-0.4991697296689739
row337	336.0	325.1828	10.864	0.9628807951391	0.04665327067220014
row338	337.0	329.0684	1.739	0.3666025416593055	0.9068898341589287
row339	338.0	109.0309	0.36	0.12558829373868427	1.5444006736386067
row340	339.0	346.1571	2.744	0.13754670300507812	1.4967486130663628
row341	340.0	126.9057	0.409	0.00018597257747397965	-3.879064305060105
row342	341.0	232.0279	2.683	0.0023620641839168354	3.118608324659287
row343	342.0	273.0427	1.527	0.2574460461164925	1.1388194804938438
row344	343.0	220.0028	0.355	0.4835868787983356	0.7031133423963525
row345	344.0	279.0975	4.087	0.5155025903730031	-0.6525684037798882
row346	345.0	246.0072	0.599	0.30483430885781326	1.0313107867371905
row347	346.0	319.102	6.237	0.6745885088963647	0.4210719058237662
row348	347.0	221.0662	1.738	0.5050404244510693	0.6689471442397215
row349	348.0	798.0417	5.67	0.6458143980631041	-0.4609520056658942
row350	349.0	94.983	1.883	0.06521122476458234	1.8639041900337816
row351	350.0	248.0953	0.705	5.4189675536539826e-05	-4.214521784826787
row352	351.0	260.0226	0.452	0.03801478217129873	2.102013231733699
row353	352.0	144.0674	4.403	0.7210699713742551	-0.3580176022414827
row354	353.0	440.1615	5.22	0.48067632207686184	-0.7078118947005069
row355	354.0	269.0656	3.666	0.12144812414158322	1.5617337711006902
row356	355.0	344.1414	2.824	0.3444948084056604	0.949729086291426
row357	356.0	380.7114	0.409	0.0032748112696669904	-3.0117697935695142
row358	357.0	413.1034	2.348	0.005885830949807424	2.8131779592361945
row359	358.0	162.0232	3.188	0.4491867242058545	0.7596991387021903
row360	359.0	363.0736	3.156	0.702618109991406	-0.38286291040898124
row361	360.0	224.0615	0.784	0.46022614293895925	-0.7412813463481229
row362	361.0	196.0284	3.15	0.7050981691788643	0.3795099732086446
