,position,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,DMEM_1.mzXML retention_time,DMEM_1.mzXML height,DMEM_1.mzXML area,DMEM_1.mzXML mz,DMEM_2.mzXML retention_time,DMEM_2.mzXML height,DMEM_2.mzXML area,DMEM_2.mzXML mz,DMEM_3.mzXML retention_time,DMEM_3.mzXML height,DMEM_3.mzXML area,DMEM_3.mzXML mz,DMEM_4.mzXML retention_time,DMEM_4.mzXML height,DMEM_4.mzXML area,DMEM_4.mzXML mz,KIC_1.mzXML retention_time,KIC_1.mzXML height,KIC_1.mzXML area,KIC_1.mzXML mz,KIC_2.mzXML retention_time,KIC_2.mzXML height,KIC_2.mzXML area,KIC_2.mzXML mz,KIC_3.mzXML retention_time,KIC_3.mzXML height,KIC_3.mzXML area,KIC_3.mzXML mz,KIC_4.mzXML retention_time,KIC_4.mzXML height,KIC_4.mzXML area,KIC_4.mzXML mz,KIV_1.mzXML retention_time,KIV_1.mzXML height,KIV_1.mzXML area,KIV_1.mzXML mz,KIV_2.mzXML retention_time,KIV_2.mzXML height,KIV_2.mzXML area,KIV_2.mzXML mz,KIV_3.mzXML retention_time,KIV_3.mzXML height,KIV_3.mzXML area,KIV_3.mzXML mz,KIV_4.mzXML retention_time,KIV_4.mzXML height,KIV_4.mzXML area,KIV_4.mzXML mz,KMV_1.mzXML retention_time,KMV_1.mzXML height,KMV_1.mzXML area,KMV_1.mzXML mz,KMV_2.mzXML retention_time,KMV_2.mzXML height,KMV_2.mzXML area,KMV_2.mzXML mz,KMV_3.mzXML retention_time,KMV_3.mzXML height,KMV_3.mzXML area,KMV_3.mzXML mz,KMV_4.mzXML retention_time,KMV_4.mzXML height,KMV_4.mzXML area,KMV_4.mzXML mz,VIP
97,28708,#28708 437.1934@35.208 MS1+,1,+,35.208,1136898.375,181579.4651,437.1934,,,0.4262,,,,,,,,,,,,,35.2083,912784.3382,145785.1427,437.1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
98,28509,#28509 350.9871@33.599 MS1+,1,+,33.599,597839.0,113777.3591,350.9871,,,0.4262,,,,,,,,,,,,,33.5985,479988.4387,91348.7025,350.9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
99,28399,#28399 451.1725@32.750 MS1+,1,+,32.749,15213.4668,1345.7505,451.1725,,,0.4262,,,,,,,,,,,,,32.7495,12214.4728,1080.466,451.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
100,28427,#28427 398.2412@33.050 MS1+,1,+,33.05,1149181.125,203137.2997,398.2412,,,0.4262,,,,,,,,,,,,,33.0497,922645.8193,163093.3333,398.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
101,28435,#28435 414.2152@33.064 MS1+,1,+,33.064,258397.9844,44740.2306,414.2152,,,0.4262,,,,,,,,,,,,,33.0637,207460.6124,35920.6967,414.2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
102,26193,#26193 439.2439@13.998 MS1+,1,+,13.998,4312.9717,400.4632,439.2439,,,0.4262,,,,,,,,,,,,,13.9981,3462.766,321.5209,439.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
103,26319,#26319 361.0652@15.045 MS1+,1,+,15.045,43382.0898,7497.9745,361.0652,,,0.4262,,,,,,,,,,,,,15.0452,34830.283,6019.9169,361.0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596824529320273
104,61778,#61778 542.0687@8.619 MS1+,1,+,8.619,2745958.25,330092.5544,542.0687,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6194,2810743.3321,337880.3907,542.0687,,,,,,,,,,,,,0.6021043635330511
105,64273,#64273 528.2739@34.664 MS1+,1,+,34.664,47159.7305,8421.193,528.2739,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6638,48272.3646,8619.8733,528.2739,,,,,,,,,,,,,0.6021043635330511
106,62781,#62781 469.2770@20.638 MS1+,1,+,20.638,11292.3691,1812.809,469.277,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.638,11558.7887,1855.5784,469.277,,,,,,,,,,,,,0.6021043635330513
107,64450,#64450 453.1675@36.108 MS1+,1,+,36.108,612369.6875,117076.4305,453.1675,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1082,626817.2562,119838.6015,453.1675,,,,,,,,,,,,,0.6021043635330513
108,64490,#64490 403.1281@36.183 MS1+,1,+,36.183,47698.5234,7543.5036,403.1281,,,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1833,48823.8693,7721.4767,403.1281,,,,,,,,,,,,,0.6021043635330513
